date,tmax_c,anomaly,anomaly_lag1
2006-01-01,5.6,0.3232474680443298,0.0
2006-01-02,8.9,3.7115733069633636,0.3232474680443298
2006-01-03,4.4,-0.7038836549204799,3.7115733069633636
2006-01-04,3.3,-1.723192194449962,-0.7038836549204799
2006-01-05,10.0,5.053580147379687,-1.723192194449962
2006-01-06,6.1,1.2263672040655829,5.053580147379687
2006-01-07,1.7,-3.104895678164353,1.2263672040655829
2006-01-08,7.8,3.0597284971202168,-3.104895678164353
2006-01-09,15.6,10.920178512896921,3.0597284971202168
2006-01-10,9.4,4.7763950735501455,10.920178512896921
2006-01-11,11.1,6.528320937888904,4.7763950735501455
2006-01-12,13.9,9.375901049970004,6.528320937888904
2006-01-13,12.2,7.719082667377794,9.375901049970004
2006-01-14,13.9,9.457815486616902,7.719082667377794
2006-01-15,0.0,-4.407948234719663,9.457815486616902
2006-01-16,0.0,-4.378253559337439,-4.407948234719663
2006-01-17,6.7,2.34685724449477,-4.378253559337439
2006-01-18,14.4,10.067344813488587,2.34685724449477
2006-01-19,8.3,3.983172795383841,10.067344813488587
2006-01-20,16.1,11.79430795020664,3.983172795383841
2006-01-21,17.2,12.900720246455112,11.79430795020664
2006-01-22,6.1,1.802382951942235,12.900720246455112
2006-01-23,4.4,0.09927271903791102,1.802382951942235
2006-01-24,7.8,3.4913696640658634,0.09927271903791102
2006-01-25,5.6,1.2786574406251274,3.4913696640658634
2006-01-26,1.7,-2.6388766933794523,1.2786574406251274
2006-01-27,6.1,1.7387581848022018,-2.6388766933794523
2006-01-28,14.4,10.01155671662944,1.7387581848022018
2006-01-29,11.7,7.279517309291718,10.01155671662944
2006-01-30,17.8,13.342642175735353,7.279517309291718
2006-01-31,5.6,1.1009373675624952,13.342642175735353
2006-02-01,5.0,0.45441280068657974,1.1009373675624952
2006-02-02,11.1,6.503082273646251,0.45441280068657974
2006-02-03,16.7,12.046963478498396,6.503082273646251
2006-02-04,11.7,6.986078004229283,12.046963478498396
2006-02-05,12.8,8.020451332641663,6.986078004229283
2006-02-06,3.9,-0.9498871733053798,8.020451332641663
2006-02-07,6.1,1.175095711291938,-0.9498871733053798
2006-02-08,2.2,-2.8045629534662417,1.175095711291938
2006-02-09,2.2,-2.888822306534519,-2.8045629534662417
2006-02-10,2.8,-2.3776377276233234,-2.888822306534519
2006-02-11,2.2,-3.070960886278165,-2.3776377276233234
