"date","calendar_index","year","count","split","period","count_method","index","dataset","D_max","final_split","neural_split"
"2006-02-19",50,2006,8,"development",365,"Distinct incident_key per occurrence date.",50,"nyc_shootings",100,"development","train"
"2006-02-20",51,2006,2,"development",365,"Distinct incident_key per occurrence date.",51,"nyc_shootings",100,"development","train"
"2006-02-21",52,2006,4,"development",365,"Distinct incident_key per occurrence date.",52,"nyc_shootings",100,"development","train"
"2006-02-22",53,2006,2,"development",365,"Distinct incident_key per occurrence date.",53,"nyc_shootings",100,"development","train"
"2006-02-23",54,2006,0,"development",365,"Distinct incident_key per occurrence date.",54,"nyc_shootings",100,"development","train"
"2006-02-24",55,2006,2,"development",365,"Distinct incident_key per occurrence date.",55,"nyc_shootings",100,"development","train"
"2006-02-25",56,2006,3,"development",365,"Distinct incident_key per occurrence date.",56,"nyc_shootings",100,"development","train"
"2006-02-26",57,2006,2,"development",365,"Distinct incident_key per occurrence date.",57,"nyc_shootings",100,"development","train"
"2006-02-27",58,2006,0,"development",365,"Distinct incident_key per occurrence date.",58,"nyc_shootings",100,"development","train"
"2006-02-28",59,2006,5,"development",365,"Distinct incident_key per occurrence date.",59,"nyc_shootings",100,"development","train"
"2006-03-01",60,2006,0,"development",365,"Distinct incident_key per occurrence date.",60,"nyc_shootings",100,"development","train"
"2006-03-02",61,2006,3,"development",365,"Distinct incident_key per occurrence date.",61,"nyc_shootings",100,"development","train"
"2006-03-03",62,2006,1,"development",365,"Distinct incident_key per occurrence date.",62,"nyc_shootings",100,"development","train"
"2006-03-04",63,2006,5,"development",365,"Distinct incident_key per occurrence date.",63,"nyc_shootings",100,"development","train"
"2006-03-05",64,2006,4,"development",365,"Distinct incident_key per occurrence date.",64,"nyc_shootings",100,"development","train"
"2006-03-06",65,2006,4,"development",365,"Distinct incident_key per occurrence date.",65,"nyc_shootings",100,"development","train"
"2006-03-07",66,2006,0,"development",365,"Distinct incident_key per occurrence date.",66,"nyc_shootings",100,"development","train"
"2006-03-08",67,2006,0,"development",365,"Distinct incident_key per occurrence date.",67,"nyc_shootings",100,"development","train"
"2006-03-09",68,2006,2,"development",365,"Distinct incident_key per occurrence date.",68,"nyc_shootings",100,"development","train"
"2006-03-10",69,2006,2,"development",365,"Distinct incident_key per occurrence date.",69,"nyc_shootings",100,"development","train"
"2006-03-11",70,2006,6,"development",365,"Distinct incident_key per occurrence date.",70,"nyc_shootings",100,"development","train"
"2006-03-12",71,2006,1,"development",365,"Distinct incident_key per occurrence date.",71,"nyc_shootings",100,"development","train"
"2006-03-13",72,2006,2,"development",365,"Distinct incident_key per occurrence date.",72,"nyc_shootings",100,"development","train"
"2006-03-14",73,2006,1,"development",365,"Distinct incident_key per occurrence date.",73,"nyc_shootings",100,"development","train"
"2006-03-15",74,2006,1,"development",365,"Distinct incident_key per occurrence date.",74,"nyc_shootings",100,"development","train"
"2006-03-16",75,2006,4,"development",365,"Distinct incident_key per occurrence date.",75,"nyc_shootings",100,"development","train"
