date,calendar_index,year,count,split,period,count_method,index,dataset,D_max,final_split,neural_split
1968-03-26,47,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,47,RAND_terrorism,100,development,train
1968-03-27,48,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,48,RAND_terrorism,100,development,train
1968-03-28,49,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,49,RAND_terrorism,100,development,train
1968-03-29,50,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,50,RAND_terrorism,100,development,train
1968-03-30,51,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,51,RAND_terrorism,100,development,train
1968-03-31,52,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,52,RAND_terrorism,100,development,train
1968-04-01,53,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,53,RAND_terrorism,100,development,train
1968-04-02,54,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,54,RAND_terrorism,100,development,train
1968-04-03,55,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,55,RAND_terrorism,100,development,train
1968-04-04,56,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,56,RAND_terrorism,100,development,train
1968-04-05,57,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,57,RAND_terrorism,100,development,train
1968-04-06,58,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,58,RAND_terrorism,100,development,train
1968-04-07,59,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,59,RAND_terrorism,100,development,train
1968-04-08,60,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,60,RAND_terrorism,100,development,train
1968-04-09,61,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,61,RAND_terrorism,100,development,train
1968-04-10,62,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,62,RAND_terrorism,100,development,train
1968-04-11,63,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,63,RAND_terrorism,100,development,train
1968-04-12,64,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,64,RAND_terrorism,100,development,train
1968-04-13,65,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,65,RAND_terrorism,100,development,train
1968-04-14,66,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,66,RAND_terrorism,100,development,train
1968-04-15,67,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,67,RAND_terrorism,100,development,train
1968-04-16,68,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,68,RAND_terrorism,100,development,train
1968-04-17,69,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,69,RAND_terrorism,100,development,train
1968-04-18,70,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,70,RAND_terrorism,100,development,train
1968-04-19,71,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,71,RAND_terrorism,100,development,train
1968-04-20,72,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,72,RAND_terrorism,100,development,train
1968-04-21,73,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,73,RAND_terrorism,100,development,train
1968-04-22,74,1968,2,development,365,Distinct RAND incident rows per occurrence date (worldwide).,74,RAND_terrorism,100,development,train
1968-04-23,75,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,75,RAND_terrorism,100,development,train
1968-04-24,76,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,76,RAND_terrorism,100,development,train
1968-04-25,77,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,77,RAND_terrorism,100,development,train
1968-04-26,78,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,78,RAND_terrorism,100,development,train
1968-04-27,79,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,79,RAND_terrorism,100,development,train
1968-04-28,80,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,80,RAND_terrorism,100,development,train
1968-04-29,81,1968,2,development,365,Distinct RAND incident rows per occurrence date (worldwide).,81,RAND_terrorism,100,development,train
1968-04-30,82,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,82,RAND_terrorism,100,development,train
1968-05-01,83,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,83,RAND_terrorism,100,development,train
1968-05-02,84,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,84,RAND_terrorism,100,development,train
1968-05-03,85,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,85,RAND_terrorism,100,development,train
1968-05-04,86,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,86,RAND_terrorism,100,development,train
1968-05-05,87,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,87,RAND_terrorism,100,development,train
1968-05-06,88,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,88,RAND_terrorism,100,development,train
1968-05-07,89,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,89,RAND_terrorism,100,development,train
1968-05-08,90,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,90,RAND_terrorism,100,development,train
1968-05-09,91,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,91,RAND_terrorism,100,development,train
1968-05-10,92,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,92,RAND_terrorism,100,development,train
1968-05-11,93,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,93,RAND_terrorism,100,development,train
1968-05-12,94,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,94,RAND_terrorism,100,development,train
1968-05-13,95,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,95,RAND_terrorism,100,development,train
1968-05-14,96,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,96,RAND_terrorism,100,development,train
1968-05-15,97,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,97,RAND_terrorism,100,development,train
1968-05-16,98,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,98,RAND_terrorism,100,development,train
1968-05-17,99,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,99,RAND_terrorism,100,development,train
1968-05-18,100,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,100,RAND_terrorism,100,development,train
1968-05-19,101,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,101,RAND_terrorism,100,development,train
1968-05-20,102,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,102,RAND_terrorism,100,development,train
1968-05-21,103,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,103,RAND_terrorism,100,development,train
1968-05-22,104,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,104,RAND_terrorism,100,development,train
1968-05-23,105,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,105,RAND_terrorism,100,development,train
1968-05-24,106,1968,3,development,365,Distinct RAND incident rows per occurrence date (worldwide).,106,RAND_terrorism,100,development,train
1968-05-25,107,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,107,RAND_terrorism,100,development,train
1968-05-26,108,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,108,RAND_terrorism,100,development,train
1968-05-27,109,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,109,RAND_terrorism,100,development,train
1968-05-28,110,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,110,RAND_terrorism,100,development,train
1968-05-29,111,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,111,RAND_terrorism,100,development,train
1968-05-30,112,1968,2,development,365,Distinct RAND incident rows per occurrence date (worldwide).,112,RAND_terrorism,100,development,train
1968-05-31,113,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,113,RAND_terrorism,100,development,train
1968-06-01,114,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,114,RAND_terrorism,100,development,train
1968-06-02,115,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,115,RAND_terrorism,100,development,train
1968-06-03,116,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,116,RAND_terrorism,100,development,train
1968-06-04,117,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,117,RAND_terrorism,100,development,train
1968-06-05,118,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,118,RAND_terrorism,100,development,train
1968-06-06,119,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,119,RAND_terrorism,100,development,train
1968-06-07,120,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,120,RAND_terrorism,100,development,train
1968-06-08,121,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,121,RAND_terrorism,100,development,train
1968-06-09,122,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,122,RAND_terrorism,100,development,train
1968-06-10,123,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,123,RAND_terrorism,100,development,train
1968-06-11,124,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,124,RAND_terrorism,100,development,train
1968-06-12,125,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,125,RAND_terrorism,100,development,train
1968-06-13,126,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,126,RAND_terrorism,100,development,train
1968-06-14,127,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,127,RAND_terrorism,100,development,train
1968-06-15,128,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,128,RAND_terrorism,100,development,train
1968-06-16,129,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,129,RAND_terrorism,100,development,train
1968-06-17,130,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,130,RAND_terrorism,100,development,train
1968-06-18,131,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,131,RAND_terrorism,100,development,train
1968-06-19,132,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,132,RAND_terrorism,100,development,train
1968-06-20,133,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,133,RAND_terrorism,100,development,train
1968-06-21,134,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,134,RAND_terrorism,100,development,train
1968-06-22,135,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,135,RAND_terrorism,100,development,train
1968-06-23,136,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,136,RAND_terrorism,100,development,train
1968-06-24,137,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,137,RAND_terrorism,100,development,train
1968-06-25,138,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,138,RAND_terrorism,100,development,train
1968-06-26,139,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,139,RAND_terrorism,100,development,train
1968-06-27,140,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,140,RAND_terrorism,100,development,train
1968-06-28,141,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,141,RAND_terrorism,100,development,train
1968-06-29,142,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,142,RAND_terrorism,100,development,train
1968-06-30,143,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,143,RAND_terrorism,100,development,train
1968-07-01,144,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,144,RAND_terrorism,100,development,train
1968-07-02,145,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,145,RAND_terrorism,100,development,train
1968-07-03,146,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,146,RAND_terrorism,100,development,train
1968-07-04,147,1968,2,development,365,Distinct RAND incident rows per occurrence date (worldwide).,147,RAND_terrorism,100,development,train
1968-07-05,148,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,148,RAND_terrorism,100,development,train
1968-07-06,149,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,149,RAND_terrorism,100,development,train
1968-07-07,150,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,150,RAND_terrorism,100,development,train
1968-07-08,151,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,151,RAND_terrorism,100,development,train
1968-07-09,152,1968,2,development,365,Distinct RAND incident rows per occurrence date (worldwide).,152,RAND_terrorism,100,development,train
1968-07-10,153,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,153,RAND_terrorism,100,development,train
1968-07-11,154,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,154,RAND_terrorism,100,development,train
1968-07-12,155,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,155,RAND_terrorism,100,development,train
1968-07-13,156,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,156,RAND_terrorism,100,development,train
1968-07-14,157,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,157,RAND_terrorism,100,development,train
1968-07-15,158,1968,2,development,365,Distinct RAND incident rows per occurrence date (worldwide).,158,RAND_terrorism,100,development,train
1968-07-16,159,1968,2,development,365,Distinct RAND incident rows per occurrence date (worldwide).,159,RAND_terrorism,100,development,train
1968-07-17,160,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,160,RAND_terrorism,100,development,train
1968-07-18,161,1968,2,development,365,Distinct RAND incident rows per occurrence date (worldwide).,161,RAND_terrorism,100,development,train
1968-07-19,162,1968,4,development,365,Distinct RAND incident rows per occurrence date (worldwide).,162,RAND_terrorism,100,development,train
1968-07-20,163,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,163,RAND_terrorism,100,development,train
1968-07-21,164,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,164,RAND_terrorism,100,development,train
1968-07-22,165,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,165,RAND_terrorism,100,development,train
1968-07-23,166,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,166,RAND_terrorism,100,development,train
1968-07-24,167,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,167,RAND_terrorism,100,development,train
1968-07-25,168,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,168,RAND_terrorism,100,development,train
1968-07-26,169,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,169,RAND_terrorism,100,development,train
1968-07-27,170,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,170,RAND_terrorism,100,development,train
1968-07-28,171,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,171,RAND_terrorism,100,development,train
1968-07-29,172,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,172,RAND_terrorism,100,development,train
1968-07-30,173,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,173,RAND_terrorism,100,development,train
1968-07-31,174,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,174,RAND_terrorism,100,development,train
1968-08-01,175,1968,1,development,365,Distinct RAND incident rows per occurrence date (worldwide).,175,RAND_terrorism,100,development,train
1968-08-02,176,1968,0,development,365,Distinct RAND incident rows per occurrence date (worldwide).,176,RAND_terrorism,100,development,train
